number,zip_file,bill_file,act_file,bill_url,act_url,status
63,AMENDMENT_63_06011990.zip,MISSING,AMENDMENT_63_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030260.pdf,MISSING_BILL
64,AMENDMENT_64_16041990.zip,MISSING,AMENDMENT_64_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030283.pdf,MISSING_BILL
65,AMENDMENT_65_07061990.zip,MISSING,AMENDMENT_65_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030267-2.pdf,MISSING_BILL
66,AMENDMENT_66_07061990.zip,MISSING,AMENDMENT_66_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/20231019371264039.pdf,MISSING_BILL
67,AMENDMENT_67_04101990.zip,MISSING,AMENDMENT_67_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030239.pdf,MISSING_BILL
68,AMENDMENT_68_12031991.zip,MISSING,AMENDMENT_68_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030261-1.pdf,MISSING_BILL
69,AMENDMENT_69_01021992.zip,MISSING,AMENDMENT_69_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/202310191443418440.pdf,MISSING_BILL
70,AMENDMENT_70_21121991.zip,MISSING,AMENDMENT_70_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030256.pdf,MISSING_BILL
71,AMENDMENT_71_31081992.zip,MISSING,AMENDMENT_71_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030242.pdf,MISSING_BILL
72,AMENDMENT_72_05121992.zip,MISSING,AMENDMENT_72_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/202310191777381238.pdf,MISSING_BILL
73,AMENDMENT_73_24041993.zip,MISSING,AMENDMENT_73_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030272.pdf,MISSING_BILL
74,AMENDMENT_74_01061993.zip,MISSING,AMENDMENT_74_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030214.pdf,MISSING_BILL
75,AMENDMENT_75_15051994.zip,MISSING,AMENDMENT_75_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/202310191626855705.pdf,MISSING_BILL
